code,name,market
005930,삼성전자,KOSPI
000660,SK하이닉스,KOSPI
005380,현대차,KOSPI
005935,삼성전자우,KOSPI
373220,LG에너지솔루션,KOSPI
207940,삼성바이오로직스,KOSPI
402340,SK스퀘어,KOSPI
012450,한화에어로스페이스,KOSPI
000270,기아,KOSPI
034020,두산에너빌리티,KOSPI
329180,HD현대중공업,KOSPI
105560,KB금융,KOSPI
068270,셀트리온,KOSPI
028260,삼성물산,KOSPI
055550,신한지주,KOSPI
042660,한화오션,KOSPI
035420,NAVER,KOSPI
015760,한국전력,KOSPI
012330,현대모비스,KOSPI
032830,삼성생명,KOSPI
010130,고려아연,KOSPI
086790,하나금융지주,KOSPI
267260,HD현대일렉트릭,KOSPI
006400,삼성SDI,KOSPI
005490,POSCO홀딩스,KOSPI
009540,HD한국조선해양,KOSPI
006800,미래에셋증권,KOSPI
035720,카카오,KOSPI
010140,삼성중공업,KOSPI
000810,삼성화재,KOSPI
316140,우리금융지주,KOSPI
034730,SK,KOSPI
064350,현대로템,KOSPI
138040,메리츠금융지주,KOSPI
051910,LG화학,KOSPI
009150,삼성전기,KOSPI
298040,효성중공업,KOSPI
272210,한화시스템,KOSPI
003670,포스코퓨처엠,KOSPI
033780,KT&G,KOSPI
011200,HMM,KOSPI
267250,HD현대,KOSPI
042700,한미반도체,KOSPI
024110,기업은행,KOSPI
096770,SK이노베이션,KOSPI
086280,현대글로비스,KOSPI
010120,LS ELECTRIC,KOSPI
066570,LG전자,KOSPI
047810,한국항공우주,KOSPI
352820,하이브,KOSPI
017670,SK텔레콤,KOSPI
030200,KT,KOSPI
0126Z0,삼성에피스홀딩스,KOSPI
003550,LG,KOSPI
000150,두산,KOSPI
018260,삼성에스디에스,KOSPI
323410,카카오뱅크,KOSPI
000720,현대건설,KOSPI
071050,한국금융지주,KOSPI
005830,DB손해보험,KOSPI
259960,크래프톤,KOSPI
047050,포스코인터내셔널,KOSPI
010950,S-Oil,KOSPI
039490,키움증권,KOSPI
307950,현대오토에버,KOSPI
278470,에이피알,KOSPI
079550,LIG넥스원,KOSPI
005940,NH투자증권,KOSPI
377300,카카오페이,KOSPI
005387,현대차2우B,KOSPI
003490,대한항공,KOSPI
326030,SK바이오팜,KOSPI
000880,한화,KOSPI
007660,이수페타시스,KOSPI
000100,유한양행,KOSPI
161390,한국타이어앤테크놀로지,KOSPI
090430,아모레퍼시픽,KOSPI
003230,삼양식품,KOSPI
016360,삼성증권,KOSPI
180640,한진칼,KOSPI
443060,HD현대마린솔루션,KOSPI
009830,한화솔루션,KOSPI
128940,한미약품,KOSPI
029780,삼성카드,KOSPI
006260,LS,KOSPI
032640,LG유플러스,KOSPI
454910,두산로보틱스,KOSPI
064400,LG씨엔에스,KOSPI
078930,GS,KOSPI
028050,삼성E&A,KOSPI
001040,CJ,KOSPI
267270,HD건설기계,KOSPI
005385,현대차우,KOSPI
138930,BNK금융지주,KOSPI
022100,포스코DX,KOSPI
241560,두산밥캣,KOSPI
001440,대한전선,KOSPI
021240,코웨이,KOSPI
034220,LG디스플레이,KOSPI
052690,한전기술,KOSPI
